Lebensmittel schuld an europäischer Inflation	Food: Where European inflation slipped up	Food is to blame for European inflation
Hauptgrund für den in der Eurozone gemessenen Anstieg der Inflation seien die rasant steigenden Lebensmittelpreise.	The skyward zoom in food prices is the dominant force behind the speed up in eurozone inflation.	The main reason for the inflation rate measured in the euro area is the soaring food prices.
In den 13 Ländern der Eurozone war die Teuerung im November höher als erwartet - nach den 2.6 Prozent im Oktober wurde eine jährliche Inflationsrate von 3.1 Prozent registriert, wie das Statistische Amt der EU in Luxemburg berichtet.	November price hikes were higher than expected in the 13 eurozone countries, with October's 2.6 percent yr/yr inflation rate followed by 3.1 percent in November, the EU's Luxembourg-based statistical office reported.	In the 13 countries in the euro area, the inflation rate in November was higher than expected - after the 2.6% in October, an annual inflation rate of 3.1% was recorded, as reported by the EU Statistical Office in Luxembourg.
Offizielle Prognosen sind von nur 3 Prozent ausgegangen, meldete Bloomberg.	Official forecasts predicted just 3 percent, Bloomberg said.	Official forecasts were based on only 3%, and bloomberg was reported.
Im Gegensatz zur amerikanischen, britischen, und kanadischen Notenbank hat die Europäische Zentralbank (EZB) den Leitzsins nicht gesenkt. Ihrem Ermessen nach würden die Zinssenkung die steigenden Rohstoffpreise und der leichte Rückgang der Arbeitslosigkeit die Entstehung einer Inflationsspirale begünstigen.	As opposed to the US, UK, and Canadian central banks, the European Central Bank (ECB) did not cut interest rates, arguing that a rate drop combined with rising raw material prices and declining unemployment would trigger an inflationary spiral.	Unlike the US, British and Canadian Federal Reserve, the European Central Bank (ECB) has not lowered the key rate and it is their opinion that interest rate reductions would encourage rising commodity prices and a slight reduction in unemployment to lead to inflation spiralling.
Die EZB ist bestrebt, die Inflationsrate unter zwei Prozent, oder zumindest knapp an der zwei-Prozent-Marke zu halten.	The ECB wants to hold inflation to under two percent, or somewhere in that vicinity.	The ECB is trying to keep inflation below 2%, or at least close to the 2% mark.
Laut einem Analysten befinde sich die EZB in der Zwickmühle: Man müsse die Inflation "absprechen", um späteren Handlungsbedarf auszuschließen.	According to one analyst, ECB has been caught in a Catch-22: It needs to "talk down" inflation, to keep from having to take action to push it down later in the game.	According to an analysts, the ECB is in the trick of 'avoiding inflation' in order to prevent further action.
Mit 3,3 Prozent erreichte die Inflationsrate im November in Deutschland ein zwölf-Jahres-Rekordhoch; in Spanien kletterte die Rate von 3,6 auf 4,1 Prozent.	Germany's November inflation rate of 3.3 percent counts as a record; in Spain the rate shot up to 4.1 percent from an earlier 3.6.	At 3.3%, inflation in Germany reached 12% per year in November; in Spain, the rate was between 3.6% and 4.1%.
Verantwortlich für den Anstieg der Inflation in der Eurozone seien die gestiegenen Lebensmittel- und Energiepreise.	Soaring food and energy prices sent eurozone inflation into the stratosphere.	The increase in inflation in the euro area is due to the increase in food and energy prices.
Die MATIF-Weizennotierungen stiegen um 88 Prozent, und der Kurs für Sojabohnen erreichte ebenfalls ein Rekordhoch seit 1973.	Wheat futures were up by 88 percent and soybean prices were at their highest since 1973.	MATIF-wheat censuses increased by 88% and the rate for soya beans also reached a record high since 1973.
Auch bei Speiseöl und Milchprodukten gab es eine erhebliche Teuerung in 2007.	Consumers also have had to pay significantly more for vegetable oils and dairy products in 2007.	There was also a significant increase in the price of oil and dairy products in 2007.
